label,ComplementNB_pred,overall,summary,text_preview
Positive,Negative,5.0,Excellent step up from the original OEM-installed kit - appears to overcome plastic fatigue/wheel clip failure,Excellent step up from the original OEM-installed kit - appears to overcome plastic fatigue/wheel clip failure. My original Kenmore Elite upper rack adjuster wa
Neutral,Positive,3.0,Three Stars,"Three Stars. worked well for like 2 years, then broke out of no where"
Positive,Negative,5.0,Five Stars,Five Stars. Compatible filters changed out easily.
Negative,Neutral,2.0,Two Stars,Two Stars. Doesn't quite fit right
Positive,Neutral,5.0,This really worked well even taking shortcuts,This really worked well even taking shortcuts. We have 24 foot of solid dryer vent pipe ending in 3 right-angles before going through the floor into the flexibl
Neutral,Positive,3.0,It is a good product. it works fine for me,"It is a good product. it works fine for me. It is a good product. it works fine for me, and I installed it my self, just followed the video they have and put it"
Positive,Neutral,5.0,"Clever, sleek looking solution to counter-top/range gap","Clever, sleek looking solution to counter-top/range gap. I recently bought a new stove, and saw just how much junk falls between the edge of the oven and the co"
Positive,Negative,5.0,Works with blue star RNB range.,Works with blue star RNB range.. I have a blue star RNB 36 range purchased in 2010. This igniter is a perfect replacement. Mounted in burner using same screw an
Neutral,Negative,3.0,Give it time,"Give it time. At first I was very disappointed as the water was quite dirty looking.  After running about 2 gallons through the water looked clear, but I could "
Negative,Neutral,1.0,Purchased for my aunt and it didn't stay on the ...,"Purchased for my aunt and it didn't stay on the .... Purchased for my aunt and it didn't stay on the shower wall. By the way, there were no installation instruc"
Neutral,Negative,3.0,Burned out after a month,Burned out after a month. I had to order 2 for the bulbs underneath the microwave above the stove. One has burned out after a month. Not sure if it's the type o
Positive,Negative,4.0,Ice maker,Ice maker. Wasn't the type of ice maker I thought it was and returned it. I'm sure it's a good ice maker.
Neutral,Negative,3.0,cheaper than the paper bags,cheaper than the paper bags. Ordered these because the paper ones are getting hard to find locally and expensive to order.  These are thick and seem to hold up 
Positive,Neutral,4.0,Really fun and now we don't mix dirty with clean,Really fun and now we don't mix dirty with clean. These are really cute. If they could be made to stick more strongly I'd have given them a five. They do stick 
Neutral,Positive,3.0,Three Stars,Three Stars. does its job
Neutral,Negative,3.0,They seem to do the job. Disappointing though that ...,They seem to do the job. Disappointing though that .... They seem to do the job. Disappointing though that they don't come with any documentation stating whethe
Neutral,Positive,3.0,Good but to expensive,Good but to expensive. Latch was perfect fit and worked as new. But I would by a different brand next time du to it is way to expensive for just one latch. I pu
Neutral,Positive,3.0,Overpriced,Overpriced. It is a little less glossy and not as deep a black color as the original but it does fit perfect.  I would give it 4 stars if it were a more reasona
Neutral,Positive,3.0,I thought it was a 2 pack so it looked like a good price,I thought it was a 2 pack so it looked like a good price. I made a mistake on this purchase. I thought it was a 2 pack so it looked like a good price. When it a
Positive,Negative,4.0,"Does the trick, but could have better hinges","Does the trick, but could have better hinges. The replacement part is fine quality and has held up well for a few months. I'm just hoping it doesn't break like "
Positive,Neutral,5.0,As good as more expensive filters,"As good as more expensive filters. This is the 3rd time purchased,reason,I don't see a difference with the more expensive ones."
Positive,Neutral,5.0,Weird little strainers,Weird little strainers. Haven't installed these yet but I am sure they will fit as long as I follow the instructions posted by other reviewers. Apparently there
Neutral,Negative,3.0,wrong color dishwasher basket,"wrong color dishwasher basket. Quality seems fine but the color was totally off that I wanted to
return it but my husband talked me out of it."
Positive,Neutral,5.0,Wonderwash,"Wonderwash. I use this all the time to wash my delicates and small loads of laundry. I wouldn't do towels or jeans in it, but I can put 12 or so t-shirts in one"
Positive,Negative,5.0,Good generic,"Good generic. Works well.  For me, the  difference is not significant enough to make me want to buy name brand.  I do dislike the metal though, as other reviewe"
Neutral,Positive,3.0,It does the job.,It does the job.. so the part fit. no more leaks the only reason it didn't score higher was it must not be a perfect match because now socks get caught down in 
Negative,Positive,1.0,Happy then not so happy,"Happy then not so happy. The replacement dryer lint filter fit perfectly, and I was pleased with the purchase.  Unfortunately, the screen has already started to"
Positive,Negative,5.0,No difference,"No difference. I was a bit hesitant after reading some other reviews, but my husband changed the filter and I can't tell that we are using a different brand. Th"
Positive,Negative,5.0,"If you can read, you can replace your surface element !!","If you can read, you can replace your surface element !!. here's the deal - - if you can read (obliviously you can) you can change out this radiant surface elem"
Neutral,Negative,3.0,Musty flavor?,Musty flavor?. Water seems to have a musty flavor.  Maybe it's the water line and not the filter.  Will try a different filter next time and see.
Positive,Neutral,4.0,This item is pretty pricey for a piece of metal and some cable,This item is pretty pricey for a piece of metal and some cable. Seems as though Whirlpool has us in their sights. This item is pretty pricey for a piece of meta
Positive,Neutral,5.0,Five Stars,Five Stars. somewhat expensive.
Positive,Neutral,4.0,May have to line dry some heavy items such as ...,May have to line dry some heavy items such as .... May have to line dry some heavy items such as jeans and towels until they are just damp and then finish them 
Negative,Neutral,2.0,Slow Flow,"Slow Flow. They are offered at a great price, but be ready for an inefficient filter.  After a few weeks the water flow gets slower and slower and slower.  I am"
Positive,Negative,4.0,Add parts from Profile/Cafe range,"Add parts from Profile/Cafe range. Cheap way to add missing ""Profile"" features to your basic GE brand fridge."
Neutral,Positive,3.0,Three Stars,Three Stars. Product was Fine but shipping was slow
Positive,Negative,4.0,"filter for refrigerator, the sensor keeps saying to replace ...","filter for refrigerator, the sensor keeps saying to replace .... filter for refrigerator, the sensor keeps saying to replace filter, I do not know if it the ref"
Negative,Neutral,1.0,Confusing not right product liated,Confusing not right product liated. Wasn't the Right size even though it was the right model number
Neutral,Negative,3.0,I've switched to another brand now...,"I've switched to another brand now.... I have bought these in the past and they worked pretty well. My water isn't too hard, but I was using RO filtered water i"
Positive,Negative,5.0,Has everything you need related to the fix.,"Has everything you need related to the fix.. The kit has everything, which I didn't need.  But finding the one part elsewhere would have had me waiting on shipp"
Positive,Negative,5.0,Great,"Great. I don't care for GE products but since the house I purchased came with brand new appliances I had no choice, as far as the filter goes, I was shocked at "
Neutral,Positive,3.0,Three Stars,Three Stars. Good product. Good value.
Positive,Neutral,4.0,Nice bin,Nice bin. Wish this bin could have fixed this lousy fridge. I got rid of it last summer. The bin was great!
Positive,Negative,5.0,Original Manufacturer Part,"Original Manufacturer Part. Perfect fit for my apartment size Hotpoint stove. Don't be fooled by the sets sold in stores that are label type a, b etc., that may"
Positive,Neutral,5.0,I give it 5 stars,"I give it 5 stars. This is my third ice maker.  This unit is quiet and runs well.  The other two ice makers were different brands and lasted a little
over a yea"
