label,MultinomialNB_pred,overall,summary,text_preview
Neutral,Positive,3.0,Too big!,Too big!. This grill pan is much too big for the meals I prepare. It's okay but I didn't need something this large!
Neutral,Positive,3.0,I thought it was a 2 pack so it looked like a good price,I thought it was a 2 pack so it looked like a good price. I made a mistake on this purchase. I thought it was a 2 pack so it looked like a good price. When it a
Positive,Neutral,4.0,"Does the trick, but could have better hinges","Does the trick, but could have better hinges. The replacement part is fine quality and has held up well for a few months. I'm just hoping it doesn't break like "
Neutral,Positive,3.0,Okay,Okay. Okay for replacement knobs but they do not appear to be factory replacements as described.  I actually purchased these for someone else.  They are the onl
Neutral,Positive,3.0,wrong color dishwasher basket,"wrong color dishwasher basket. Quality seems fine but the color was totally off that I wanted to
return it but my husband talked me out of it."
Neutral,Positive,3.0,It does the job.,It does the job.. so the part fit. no more leaks the only reason it didn't score higher was it must not be a perfect match because now socks get caught down in 
Negative,Positive,1.0,Happy then not so happy,"Happy then not so happy. The replacement dryer lint filter fit perfectly, and I was pleased with the purchase.  Unfortunately, the screen has already started to"
Positive,Negative,5.0,No difference,"No difference. I was a bit hesitant after reading some other reviews, but my husband changed the filter and I can't tell that we are using a different brand. Th"
Positive,Negative,5.0,"If you can read, you can replace your surface element !!","If you can read, you can replace your surface element !!. here's the deal - - if you can read (obliviously you can) you can change out this radiant surface elem"
Neutral,Negative,3.0,Musty flavor?,Musty flavor?. Water seems to have a musty flavor.  Maybe it's the water line and not the filter.  Will try a different filter next time and see.
Negative,Positive,2.0,Slow Flow,"Slow Flow. They are offered at a great price, but be ready for an inefficient filter.  After a few weeks the water flow gets slower and slower and slower.  I am"
Neutral,Positive,3.0,Three Stars,Three Stars. Product was Fine but shipping was slow
Negative,Positive,1.0,and it looks like I'll need to shell out that much again,"and it looks like I'll need to shell out that much again. I too have had issues with this oven's control panel, now for the second time in three years. The part"
Neutral,Positive,3.0,Three Stars,Three Stars. Water doesn't taste very good from this filter.
Negative,Positive,1.0,Wrong advertised part,Wrong advertised part. This might have been a great part but it was not the item for my refridgerator and my fridge was listed as the part for this item.  It wa
Negative,Positive,1.0,Confusing not right product liated,Confusing not right product liated. Wasn't the Right size even though it was the right model number
Neutral,Positive,3.0,I've switched to another brand now...,"I've switched to another brand now.... I have bought these in the past and they worked pretty well. My water isn't too hard, but I was using RO filtered water i"
Positive,Negative,5.0,Has everything you need related to the fix.,"Has everything you need related to the fix.. The kit has everything, which I didn't need.  But finding the one part elsewhere would have had me waiting on shipp"
Neutral,Positive,3.0,Three Stars,Three Stars. Good product. Good value.
Negative,Positive,1.0,DOA,"DOA. Arrived on time and as expected, but it was DOA, I had to return it and get a refund"
Negative,Positive,1.0,"I still have the unit, item don't know if I can return it?","I still have the unit, item don't know if I can return it?. Not satisfied! My unit wrk for 5minutes and then burned down! Was working great and all of sudden th"
Neutral,Positive,3.0,Replace !,Replace !. Nicely replaces dried out plastic to save on belt wear. Thank-You!
Neutral,Positive,3.0,"Just received my so-called 3pack of replacement water filters, ...","Just received my so-called 3pack of replacement water filters, .... Just received my so-called 3pack of replacement water filters, only (1) problem, there is on"
Negative,Positive,1.0,Perfect fit replacement but inferior,Perfect fit replacement but inferior. Looked like Exact replacement part. However it did not hold up well at all. See the pic. Original lasted a decade this one
Neutral,Positive,3.0,At a Great Expense. It Does What It's Supposed To...,"At a Great Expense. It Does What It's Supposed To.... It vents the exhaust to the side, instead of the back, just like it says. I'm just not that impressed with"
Positive,Negative,5.0,the most logical problem with my washer was a bad transmission. He said that would cast between #350,"the most logical problem with my washer was a bad transmission. He said that would cast between #350. This was just what I wanted...almost.  After I put it in, "
Neutral,Positive,3.0,Three Stars,Three Stars. Didn't fit into my washer. Took apart and rebuilt the old one with the new parts.
Neutral,Positive,3.0,Three Stars,"Three Stars. looks white in the pictures, but is actually silver."
Neutral,Positive,3.0,liked this model very much,"liked this model very much. Am still shopping, liked this model very much, but what bothers me when you get close to the stove your foot hits the bottom drawer."
Negative,Positive,1.0,Both ends are straight with no elbow like shown.,Both ends are straight with no elbow like shown.. Was not the item listed. Both ends are straight with no elbow like shown.
Neutral,Positive,3.0,Good product,Good product. You can tell it works almost immediately after you replace the filter.  Within the next day or two you will need to refill the water tank.  These 
Positive,Negative,4.0,Four Stars,Four Stars. Some of the switches appeared to be defective. After a few days they broke the plastic came apart.
Neutral,Negative,3.0,Use caution when ordering this cover from the Norcold parts ...,Use caution when ordering this cover from the Norcold parts .... Use caution when ordering this cover from the Norcold parts manual if you need both the cover a
Neutral,Positive,3.0,It does the trick.  Hope it lasts a few years.,"It does the trick.  Hope it lasts a few years.. The plastic is not high-end, so I am hoping the parts last for a few years.  They fit and the rack is back in ac"
Negative,Positive,2.0,Two Stars,Two Stars. The door gasket was defective.
Positive,Negative,5.0,The cook top cracked into 2 pieces.,The cook top cracked into 2 pieces.. Do not buy this product.  I have only used it 4 or 5 times and it cracked right down the middle.  I was boiling a pot of wa
Negative,Positive,1.0,does not get cold enough for beer,"does not get cold enough for beer. Does not get cold enough for beer. Mine never got below 46 degrees, not near cold enough to store beer, or soft drinks in my "
Negative,Positive,2.0,... to make it work a little loud but works great,... to make it work a little loud but works great. Had to retrofit to make it work a little loud but works great
Neutral,Positive,3.0,After 2 years searching on line i finally fixed this and now it works great!,"After 2 years searching on line i finally fixed this and now it works great!. I received this beverage cooler for Christmas two years ago, I plugged it in and l"
Negative,Positive,1.0,Tiny Tots,Tiny Tots. These molds must be for small children to use in their doll houses!
Neutral,Positive,3.0,Perfect fit/ lights not working,Perfect fit/ lights not working. Bought this to replace the panel on our 5 year old Maytag dishwasher. The wire strip inside had rusted (just like other reviewe
Positive,Negative,4.0,"This bellows is well made and a good fit, but it is not the right replacement ...","This bellows is well made and a good fit, but it is not the right replacement .... This bellows is well made and a good fit, but it is not the right replacement"
Neutral,Negative,3.0,don't know whether I'm just getting a run of bad motors or what,"don't know whether I'm just getting a run of bad motors or what. I'm on my 3rd motor to be replaced, don't know whether I'm just getting a run of bad motors or "
Neutral,Positive,3.0,This valve leaks until you plug up the refrigerator,This valve leaks until you plug up the refrigerator. Fast shipping and easy to install.  But the valve leaks very bad until you hook up the electrical connectio
