label,GradientBoosting_pred,overall,summary,text_preview
Negative,Positive,1.0,Outdoor Sensor Fails Quickly / Not Water-Proof,"Outdoor Sensor Fails Quickly / Not Water-Proof. The sensors say ""indoor/outdoor"" yet the battery casing leaks on the outdoor sensor, ruining the batteries, not "
Neutral,Positive,3.0,... bought it and found it to be not as good all my clothes get tangled,... bought it and found it to be not as good all my clothes get tangled. I bought it and found it to be not as good all my clothes get tangled. The only thing i
Negative,Positive,1.0,The seller was great unfortunately the dishwasher arrived and leaked like a sieve ...,The seller was great unfortunately the dishwasher arrived and leaked like a sieve .... The seller was great unfortunately the dishwasher arrived and leaked like
Neutral,Positive,3.0,Three Stars,Three Stars. tangles hair
Neutral,Positive,3.0,over-priced rubber grate pads,over-priced rubber grate pads. tiny piece of rubber should cost less than a quarter. easy to install but am concerned how long they will last
Neutral,Positive,3.0,The unit works that's really all that matters. This ...,The unit works that's really all that matters. This .... The unit works that's really all that matters.  This is my second valve though and I think it's a shame
Neutral,Negative,3.0,handy but less reliable,"handy but less reliable. Bought 1st one in 2004 to wash my baby clothes since I did not want to wash them in common laundry of our apartment.
Pro: Just small en"
Positive,Negative,4.0,"Looks okay, for the price...","Looks okay, for the price.... I asked customers who bought this item whether it comes with any rubber gasket and has been replied with ""yes"" (rubber one for abo"
Negative,Positive,2.0,Two Stars,Two Stars. Smaller than what I expected
Negative,Positive,2.0,Two Stars,Two Stars. did not fix my problem with refrigerator
Negative,Positive,2.0,Parts are Aftermarket Not Genuine OEM as Advertised,Parts are Aftermarket Not Genuine OEM as Advertised. I carefully looked to make sure these parts were genuine Whirlpool parts but they were not.  Genuine Whirlp
Negative,Positive,2.0,Sears Model !,Sears Model !. Darn Same F7 Problem.
Neutral,Positive,3.0,"Received multiple damaged units, doesn't keep time, sucks air well.","Received multiple damaged units, doesn't keep time, sucks air well.. In some ways, I wanted to give it one or two stars, but the price and the fact that is exha"
Neutral,Positive,3.0,3 stars,3 stars. IT's not the best freezer here in Amazon but it's definitely not the worst one. It works well and has sufficient space for my stuff.
Negative,Positive,1.0,NO WIRES OR CORDS TO CONNECT,NO WIRES OR CORDS TO CONNECT. The fan is nice but I couldn't see that it had to be hook up from exhaustion from the ceiling connect to outside. I end up not usi
Neutral,Negative,3.0,I was excited to receive these filters. I had ...,"I was excited to receive these filters. I had .... I was excited to receive these filters.  I had to send them back however, because the opening in the filter t"
Neutral,Positive,3.0,Cheaper than Home Depot,"Cheaper than Home Depot. Not much I can say, it seems to work fine. (at keeping the wife from spending money on bottled water) and Cheaper than Home Depot."
Neutral,Positive,3.0,A great idea. I hope they release an update for ...,A great idea. I hope they release an update for .... A great idea. I hope they release an update for the associated app soon. It's currently buggy and updates w
Negative,Positive,2.0,Does Not include instuctions for programming or anything,Does Not include instuctions for programming or anything. I would have gave this more ratings because it works fine making ice but when....when it wants too! Ho
Neutral,Negative,3.0,Three Stars,Three Stars. Item was returned as it did not fit.  No issues with the return.
Negative,Positive,1.0,"This filter fits, but it won't enable the ""replace ...","This filter fits, but it won't enable the ""replace .... This filter fits, but it won't enable the ""replace water filter"" light to go off since it doesn't have t"
Neutral,Negative,3.0,There are some defects on the stainless steel and the ...,There are some defects on the stainless steel and the .... There are some defects on the stainless steel and the bottom rubber protector has had to be placed ba
Neutral,Positive,3.0,Three Stars,Three Stars. it work!
Neutral,Negative,3.0,Did not fit my freezer even though i looked up ...,"Did not fit my freezer even though i looked up .... Did not fit my freezer even though i looked up the info and it said it would but its OK, my boyfriend rigged"
Neutral,Positive,3.0,Got shorted on the parts,"Got shorted on the parts. It owuld be a perfect fit but they shorted me on parts. I did not get all of the small pieces for the inside so my facet still leaks
I"
Negative,Positive,2.0,Two Stars,Two Stars. Picture shows an OEM bag but part is NOT. Deceiving.
Neutral,Positive,3.0,Three Stars,Three Stars. Easy to install. Does what it's suppose to
Negative,Positive,1.0,One lonely thin cube,"One lonely thin cube. Loved this when I first got it, the first couple days it made great ice. Now I get one ice cube, not even a full ice cube. Wth? In the pho"
Negative,Positive,2.0,Two Stars,"Two Stars. Could taste something in the water, the authentic Samsung filter leaves water with no taste"
Negative,Positive,1.0,Failed fast,Failed fast. Not a Maytag brand replacement part.  Failed within one hour; barely enough to dry one load of clothes.
Negative,Positive,2.0,Not a good replacement,Not a good replacement. Some off brands are ok but this is not. It leaks and leaves puddle under tray. Look elsewere
Negative,Positive,2.0,Pretty but lacks quality,Pretty but lacks quality. This stove is beautiful but I have been disappointed with the quality. The burners often click throughout usage. I'll lower the flame.
Negative,Positive,2.0,Two Stars,Two Stars. It does not fit well. Fell off on its own after trying several tiems.
Neutral,Positive,3.0,Cleans great. There is a constant leak from the faucet,"Cleans great. There is a constant leak from the faucet. Cleans great.  There is a constant leak from the faucet, though, and no amount of teflon tape or anythin"
Neutral,Positive,3.0,Three Stars,Three Stars. Fits ok. Felt could have been wider for a snugger fit.
Neutral,Positive,3.0,Three Stars,Three Stars. Cannot tell much difference.
Positive,Negative,5.0,it was the bad switch all along,it was the bad switch all along. This one works!!! Previously bought a non-whirlpool after market switch and it failed with in three weeks. It is not worth the 
Neutral,Negative,3.0,Three Stars,"Three Stars. Did not fit but was taken back.
Still had washer apart to learn that lesson.
Not fun"
Negative,Positive,1.0,"too thick, door won't close. money wasted","too thick, door won't close. money wasted. this says its exact fit for my dishwasher, but now my dishwasher will not latch or stay closed on its own.  it is a t"
Neutral,Positive,3.0,We made it fit,We made it fit. I bought this for my parents stove. It's a whirlpool and we had been having a tough time finding knobs. None of the plastic caps fit our stove b
Negative,Positive,1.0,Two Stars,Two Stars. Chinese junk.
Negative,Positive,1.0,Be careful,"Be careful. Didn't fit the washer machine,  trying to see why is the model is the same,  delivery and packaging was good but the product wasn't right."
Negative,Positive,1.0,it did not work,it did not work. sorry to say we were unable to install the new filter.  perhaps I ordered the wrong filter for our Kenmore Elite.  Hal S
Neutral,Positive,3.0,It's not easy but once on,"It's not easy but once on. The spring was too small for my door but I managed to force it on.  It's not easy but once on, it worked great."
Neutral,Positive,3.0,Not for all GE Stoves.,Not for all GE Stoves.. 2 of these fit my stove. One large one and one small one do not sit right in the stove. I probably needed to order the Universal Porcela
