label,MLP_pred,overall,summary,text_preview
Negative,Positive,1.0,NO WIRES OR CORDS TO CONNECT,NO WIRES OR CORDS TO CONNECT. The fan is nice but I couldn't see that it had to be hook up from exhaustion from the ceiling connect to outside. I end up not usi
Positive,Neutral,4.0,Serves its purpose.,Serves its purpose.. Bought it to replace the one on our wasteking. Fits fine. Water drains pretty slow through it and leaves a very small opening to cram the f
Neutral,Negative,3.0,I was excited to receive these filters. I had ...,"I was excited to receive these filters. I had .... I was excited to receive these filters.  I had to send them back however, because the opening in the filter t"
Neutral,Positive,3.0,Cheaper than Home Depot,"Cheaper than Home Depot. Not much I can say, it seems to work fine. (at keeping the wife from spending money on bottled water) and Cheaper than Home Depot."
Positive,Negative,4.0,Four Stars,Four Stars. Did not fix the trouble
Negative,Positive,1.0,Within 40 days I have a replace filter sign on ...,Within 40 days I have a replace filter sign on .... Within 40 days I have a replace filter sign on my refrigerator. My original one took 6 months to get the rep
Neutral,Positive,3.0,A great idea. I hope they release an update for ...,A great idea. I hope they release an update for .... A great idea. I hope they release an update for the associated app soon. It's currently buggy and updates w
Negative,Positive,1.0,"This filter fits, but it won't enable the ""replace ...","This filter fits, but it won't enable the ""replace .... This filter fits, but it won't enable the ""replace water filter"" light to go off since it doesn't have t"
Neutral,Positive,3.0,There are some defects on the stainless steel and the ...,There are some defects on the stainless steel and the .... There are some defects on the stainless steel and the bottom rubber protector has had to be placed ba
Neutral,Positive,3.0,Three Stars,Three Stars. it work!
Neutral,Negative,3.0,Did not fit my freezer even though i looked up ...,"Did not fit my freezer even though i looked up .... Did not fit my freezer even though i looked up the info and it said it would but its OK, my boyfriend rigged"
Neutral,Positive,3.0,Got shorted on the parts,"Got shorted on the parts. It owuld be a perfect fit but they shorted me on parts. I did not get all of the small pieces for the inside so my facet still leaks
I"
Negative,Neutral,2.0,Two Stars,Two Stars. Picture shows an OEM bag but part is NOT. Deceiving.
Positive,Negative,4.0,Works great for the motorhome,Works great for the motorhome. We have purchased two of these units in the last couple of years. The first one only lasted just under a year and we have had the
Neutral,Positive,3.0,Three Stars,Three Stars. Easy to install. Does what it's suppose to
Negative,Positive,1.0,One lonely thin cube,"One lonely thin cube. Loved this when I first got it, the first couple days it made great ice. Now I get one ice cube, not even a full ice cube. Wth? In the pho"
Negative,Positive,2.0,Not a good replacement,Not a good replacement. Some off brands are ok but this is not. It leaks and leaves puddle under tray. Look elsewere
Neutral,Positive,3.0,Cleans great. There is a constant leak from the faucet,"Cleans great. There is a constant leak from the faucet. Cleans great.  There is a constant leak from the faucet, though, and no amount of teflon tape or anythin"
Neutral,Positive,3.0,Three Stars,Three Stars. Fits ok. Felt could have been wider for a snugger fit.
Neutral,Positive,3.0,Three Stars,Three Stars. Cannot tell much difference.
Positive,Negative,5.0,it was the bad switch all along,it was the bad switch all along. This one works!!! Previously bought a non-whirlpool after market switch and it failed with in three weeks. It is not worth the 
Neutral,Negative,3.0,Three Stars,"Three Stars. Did not fit but was taken back.
Still had washer apart to learn that lesson.
Not fun"
Neutral,Positive,3.0,ok,"ok. this item replace my original roller... its ok... it still make noise when it start up , but after about 2 minutes it runs ok... not what i wanted.. still a"
Neutral,Negative,3.0,We made it fit,We made it fit. I bought this for my parents stove. It's a whirlpool and we had been having a tough time finding knobs. None of the plastic caps fit our stove b
Negative,Positive,1.0,Be careful,"Be careful. Didn't fit the washer machine,  trying to see why is the model is the same,  delivery and packaging was good but the product wasn't right."
Positive,Negative,5.0,After some troubleshooting have ice again!,"After some troubleshooting have ice again!. I purchased this item from the reseller ""DeepDiscountsco"".  I initially had a problem with it where the shutoff arm "
Neutral,Positive,3.0,It's not easy but once on,"It's not easy but once on. The spring was too small for my door but I managed to force it on.  It's not easy but once on, it worked great."
Neutral,Negative,3.0,Not for all GE Stoves.,Not for all GE Stoves.. 2 of these fit my stove. One large one and one small one do not sit right in the stove. I probably needed to order the Universal Porcela
Positive,Negative,5.0,Does what it suppsed to do.,Does what it suppsed to do.. It had been 4 weeks and the fridge is odor free. The tradition Arm & Hammer that I normally used never get to this level maybe beca
Negative,Positive,2.0,not perfect,not perfect. One of the filters was cut too small rendering it ineffective. It was my first order so i cannot comment on the probability of his happening again.
Positive,Negative,5.0,No leaks!!,"No leaks!!. Highly recommend!  I bought the cheap ones instead of these in an attempt to save a large amount of money, but every one of the filters in that thre"
Neutral,Negative,3.0,Mi lavadora,"Mi lavadora. Hola, not en mi lavadora la sensacin de corriente elctrica en la secadora por lo que tengo temor lo pude comprobar en 2 ocaciones en la primera y n"
Neutral,Positive,3.0,"Works fine, but I wish the shipping were a bit ...","Works fine, but I wish the shipping were a bit .... Works fine, but I wish the shipping were a bit faster. I ended up having to spend thanksgiving without a wor"
Negative,Positive,2.0,Not what expected,"Not what expected. Prior to purchasing these filters, I had read that they would eliminate the white dust that is present when these filters are not used.
The f"
Negative,Positive,2.0,Four Stars,"Four Stars. works perfectly, could be a bit thicker material.
Update:
I have used this for less than 6 months and disappointment is where I am now.
While the fi"
Negative,Positive,1.0,TAKES AN HOUR TO DRY !!,"TAKES AN HOUR TO DRY !!. Just to warn you that it takes an hour to dry 4 bath towels.
Takes over 80 minutes when it's filled full with the following cotton piec"
Neutral,Positive,3.0,Works but not as strong as it could be,Works but not as strong as it could be. The magnetic strength was not very good but it was adequate to keep the seal.
Neutral,Positive,3.0,Spacious but flaws,"Spacious but flaws. I got the 5.1 cubic foot freezer and it is the perfect amount of room for me.  This would, without a doubt, be a 5 star product if it weren'"
Negative,Positive,1.0,Not a good value,Not a good value. I've had this for 4 months and it already ripped. Amazon could not do anything since it was past the return policy.
Neutral,Positive,3.0,Great product,"Great product. It is a great microwave, however it came damaged on the top right hand corner and the door won't open and close easily.  But it seemed like a lot"
Neutral,Positive,3.0,Hard to find in town....,Hard to find in town..... It's about like rating a paper clip but here goes. This one did fit my Cub Cadet Weed trimmer and I could NOT find one in town so I bo
Neutral,Negative,3.0,Did not fit.,Did not fit.. Did not fit my stove - not sure where the error came in. Could have been me but not sure at this point
